timestamp,rss_mb,vsz_mb,cpu_pct
23:21:23,362.71,10133.94,65.3
23:21:24,362.2,10133.43,65.4
23:21:25,364.77,10135.97,65.4
23:21:26,363.24,10134.45,65.5
23:21:27,362.24,10133.43,65.5
23:21:28,363.76,10134.96,65.6
23:21:29,363.76,10134.96,65.6
23:21:30,365.04,10136.23,65.7
23:21:31,364.82,10135.97,65.8
23:21:32,360.76,10131.91,65.8
23:21:33,361.78,10132.93,65.9
23:21:34,361.17,10132.42,66
23:21:35,362.3,10133.43,66.1
23:21:36,364.45,10135.46,66.1
23:21:37,363.94,10134.96,66.2
23:21:38,363.43,10134.45,66.3
23:21:39,364.93,10135.97,66.4
23:21:40,364.97,10136.22,66.5
23:21:41,361.82,10132.68,66.5
23:21:42,364.91,10135.97,66.6
23:21:43,362.38,10133.43,66.7
23:21:44,362.12,10133.18,66.8
23:21:45,362.88,10133.94,66.9
23:21:46,364.91,10135.97,66.9
23:21:47,360.85,10131.91,67
23:21:48,365.42,10136.48,67.1
23:21:49,362.88,10133.94,67.2
23:21:50,362.88,10133.94,67.3
23:21:51,363.73,10134.96,67.3
23:21:52,363.39,10134.45,67.4
23:21:53,361.87,10132.93,67.5
23:21:54,364.92,10135.97,67.6
23:21:55,362.38,10133.43,67.7
23:21:56,362.89,10133.94,67.6
23:21:57,362.89,10133.94,67.6
23:21:58,362.38,10133.43,67.6
23:21:59,361.62,10132.67,67.6
23:22:00,361.62,10132.67,67.6
23:22:01,362.11,10133.17,67.6
23:22:02,362.87,10133.93,67.6
23:22:03,362.36,10133.42,67.5
23:22:04,362.36,10133.42,67.5
23:22:05,362.11,10133.16,67.5
23:22:06,361.86,10132.91,67.5
23:22:07,362.36,10133.42,67.5
23:22:08,362.87,10133.93,67.5
23:22:09,362.36,10133.42,67.5
23:22:10,361.86,10132.91,67.5
23:22:11,362.36,10133.42,67.5
23:22:12,362.87,10133.93,67.4
23:22:13,362.62,10133.67,67.4
23:22:14,362.11,10133.16,67.4
23:22:15,362.36,10133.42,67.4
23:22:16,362.87,10133.93,67.4
23:22:17,364.38,10135.44,67.4
23:22:18,301.61,10075.66,67.4
23:22:19,237.46,10015.2,67.3
23:22:20,240.63,10025.17,67.3
23:22:21,252.45,10025.93,67.2
23:22:22,254.62,10058.93,67.2
23:22:23,254.12,10058.42,67.1
23:22:24,255.81,10058.42,67.1
23:22:25,255.3,10057.91,67.1
23:22:26,256.07,10058.68,67.1
23:22:27,261.51,10120.66,67.1
23:22:28,261.52,10120.91,67
23:22:29,261.59,10121.16,67.1
23:22:30,261.6,10121.16,67
23:22:31,261.61,10121.16,67
23:22:32,264.32,10121.16,66.9
23:22:33,270.08,10121.16,66.9
23:22:34,288.1,10121.16,66.9
23:22:35,294.39,10121.16,66.8
23:22:36,294.39,10121.16,66.8
23:22:37,303.95,10121.16,66.8
23:22:38,304.46,10121.66,66.7
23:22:39,328.28,10121.91,66.7
23:22:40,328.28,10121.91,66.7
23:22:41,332.24,10121.91,66.6
23:22:42,332.52,10122.16,66.7
23:22:43,334.05,10123.16,66.7
23:22:44,342.86,10125.16,66.6
23:22:45,342.87,10125.16,66.6
23:22:46,344.49,10125.16,66.5
23:22:47,349.59,10125.41,66.5
23:22:48,349.66,10125.41,66.5
23:22:49,349.66,10125.41,66.4
23:22:50,349.66,10125.41,66.4
23:22:51,349.66,10125.41,66.4
23:22:52,352.81,10125.41,66.4
23:22:53,352.81,10125.41,66.4
23:22:54,352.82,10125.66,66.4
23:22:55,352.86,10125.66,66.4
23:22:56,352.86,10125.66,66.4
23:22:57,352.81,10125.41,66.3
23:22:58,352.88,10125.41,66.3
23:22:59,352.88,10125.41,66.2
23:23:00,352.88,10125.41,66.2
23:23:01,352.89,10125.41,66.2
23:23:02,352.9,10125.41,66.2
23:23:03,352.93,10125.41,66.3
23:23:04,352.98,10125.41,66.3
23:23:05,353,10125.41,66.2
23:23:06,353.02,10125.41,66.2
23:23:07,355.07,10126.66,66.2
23:23:08,355.07,10126.66,66.2
23:23:09,355.07,10126.66,66.2
23:23:10,355.07,10126.66,66.1
23:23:11,355.07,10126.66,66.1
23:23:12,355.07,10126.66,66.1
23:23:13,355.07,10126.66,66
23:23:14,355.09,10126.66,66
23:23:15,355.09,10126.66,66
23:23:16,355.09,10126.66,66
23:23:17,355.09,10126.66,66
23:23:18,355.09,10126.66,66
23:23:19,355.09,10126.66,66
23:23:20,356.09,10127.66,66
23:23:21,356.34,10127.91,66
23:23:22,356.59,10128.16,66
23:23:23,356.59,10128.16,66
23:23:24,356.59,10128.16,66
23:23:25,356.59,10128.16,66
23:23:26,356.59,10128.16,66
23:23:27,356.59,10128.16,65.9
23:23:28,356.59,10128.16,65.9
23:23:29,356.59,10128.16,65.9
23:23:30,356.59,10128.16,65.8
23:23:31,357.09,10128.91,65.9
23:23:32,357.09,10129.16,65.9
23:23:33,357.36,10130.41,65.9
23:23:34,359.62,10133.41,65.9
23:23:35,359.62,10133.41,65.9
23:23:36,359.62,10133.41,65.8
23:23:37,359.62,10133.41,65.6
23:23:38,359.62,10133.41,65.5
23:23:39,359.62,10133.41,65.4
23:23:40,359.62,10133.41,65.3
23:23:41,359.62,10133.41,65.2
23:23:42,359.62,10133.41,65.1
23:23:43,359.62,10133.41,65
23:23:44,359.62,10133.41,64.8
23:23:45,359.62,10133.41,64.7
23:23:46,359.62,10133.41,64.6
23:23:47,359.62,10133.41,64.5
23:23:48,359.62,10133.41,64.4
23:23:49,359.62,10133.41,64.3
23:23:50,359.62,10133.41,64.2
23:23:51,359.62,10133.41,64.1
23:23:52,359.62,10133.41,63.9
23:23:53,359.62,10133.41,63.8
23:23:54,359.62,10133.41,63.7
23:23:55,359.62,10133.41,63.6
23:23:56,359.62,10133.41,63.5
23:23:57,359.62,10133.41,63.4
